date,ward_id,flooded,event_id,event_type,confidence,max_rainfall_mm,source,notes
2019-08-16,114,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-17,114,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-17,111,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-17,109,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-17,122,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-17,127,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-16,127,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-16,111,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-16,109,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2019-08-16,122,1,2019_AUG,monsoon,1.0,80.0,KMC records,Churial Canal undredged due to contractor insolvency
2020-05-21,7,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,51,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,128,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,125,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,33,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,64,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,45,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,119,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,126,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,46,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,117,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,127,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,135,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,65,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,106,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,122,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,66,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
2020-05-21,136,1,2020_AMPHAN,cyclone,0.9,236.0,"Government reports, satellite imagery","Costliest cyclone in N Indian Ocean, 6.6 sq.km inundated, 19 deaths in Kolkata"
